year,citation,domain,features,predict what,predict how,predict when,portfolio
2011,,MIP,problem features probing,algorithm,random forests,offline,dynamic
2011,,evolutionary algorithms,past performance,algorithm,statistical models,online,static
2011,,planning,past performance,resource allocation,statistical model,offline,static
2011,,constraints,problem features,resource allocation,8 classification algorithms ridge regression,offline,static
2011,,TSP,problem features,algorithm,self-organizing map decision tree neural network,offline,static
2012,,SAT QBF constraints,problem features probing,algorithm,5 regression algorithms 2 classification algorithms,offline,static
2012,,constraints,problem features,portfolio,case-based reasoning hand-crafted rules,offline,dynamic
2012,,SAT,problem features,ranking,case-based reasoning with voting,offline,static
2012,,inventory routing problem,past performance,portfolio,statistical model,offline,static
2012,,SAT,past performance,resource allocation,nearest neighbour,offline and online,static
2012,,optimisation problems,problem features,algorithm,SVM,offline,static
2012,,Quadratic Assignment Problem and TSP,past performance,algorithm,statistical model,online,static
2012,,planning,past performance,resource allocation,statistical model,offline and online,static
2012,,SAT MIP TSP,problem features,algorithm performance,11 algorithms,offline,static
2012,,TSP,problem features,ranking,neural networks,offline,static
2012,,MIP,problem features,heuristic,clustering,online,static
2013,,SAT,problem features,resource allocation and switch algorithm?,nearest neighbour and decision tree classification,offline and online,static
2013,,black-box optimisation,problem features,algorithm,clustering,offline,static
2013,,SAT MIP TSP,problem features and algorithm parameters,algorithm performance,random forests linear regression neural networks Gaussian processes regression trees,offline,static
2013,,graph coloring,problem features,algorithm,six classifiers,offline,static
2013,,constraints,problem features,algorithm,range of different approaches,offline,static
2013,,planning,problem features,model,SVM,offline,static
2013,,reinforcement learning,past performance,abstraction,MDP,online,static
2013,,SAT,problem features,algorithm,clustering,online,static
2013,,constraints,problem features,algorithm,classification regression and clustering,offline,static
2013,,SAT,problem features,algorithm,clustering,offline,static
2013,,combinatorial search,probing,subset of algorithms,optimisation problem,offline,static
